Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - at 30 June,Estimated resident population (no.),,,7732858,7850871,7945580,8034305,8094317,8093815,
ERP_21,Estimated resident population - at 30 June,Population density (persons/km2),,,9.7,9.8,9.9,10,10.1,10.1,
ERP_M_20,Estimated resident population - at 30 June,Estimated resident population - males (no.),,,3833807,3894093,3945584,3992323,4021817,4023278,
ERP_F_20,Estimated resident population - at 30 June,Estimated resident population - females (no.),,,3899051,3956778,3999996,4041982,4072500,4070537,
ERP_19,Estimated resident population - at 30 June,Median age - males (years),,,36.7,36.7,36.7,36.8,37.2,37.7,
ERP_22,Estimated resident population - at 30 June,Median age - females (years),,,38.5,38.4,38.5,38.6,39,39.5,
ERP_23,Estimated resident population - at 30 June,Median age - persons (years),,,37.6,37.5,37.6,37.7,38.1,38.6,
ERP_18,Estimated resident population - at 30 June,Working age population (aged 15-64 years) (no.),,,5063187,5132710,5185712,5229985,5241850,5207160,
ERP_17,Estimated resident population - at 30 June,Working age population (aged 15-64 years) (%),,,65.5,65.4,65.3,65.1,64.8,64.3,
ERP_M_2,Estimated resident population - Males - at 30 June,Males - 0-4 years (no.),,,257546,257011,254368,253298,250064,246329,
ERP_M_3,Estimated resident population - Males - at 30 June,Males - 5-9 years (no.),,,255762,258917,260974,261887,261592,261074,
ERP_M_4,Estimated resident population - Males - at 30 June,Males - 10-14 years (no.),,,233593,240259,246252,252055,257760,261545,
ERP_M_5,Estimated resident population - Males - at 30 June,Males - 15-19 years (no.),,,239059,240100,242053,243143,240728,238649,
ERP_M_6,Estimated resident population - Males - at 30 June,Males - 20-24 years (no.),,,270639,274417,278640,281964,275366,262804,
ERP_M_7,Estimated resident population - Males - at 30 June,Males - 25-29 years (no.),,,287121,294484,299484,302269,297733,286551,
ERP_M_8,Estimated resident population - Males - at 30 June,Males - 30-34 years (no.),,,283211,288852,292280,295453,297444,295622,
ERP_M_9,Estimated resident population - Males - at 30 June,Males - 35-39 years (no.),,,257039,265502,274305,282082,288310,291941,
ERP_M_10,Estimated resident population - Males - at 30 June,Males - 40-44 years (no.),,,256703,253507,251579,250677,252830,257644,
ERP_M_11,Estimated resident population - Males - at 30 June,Males - 45-49 years (no.),,,243631,251649,257374,259935,260639,256530,
ERP_M_12,Estimated resident population - Males - at 30 June,Males - 50-54 years (no.),,,243196,239453,236228,235210,237726,244168,
ERP_M_13,Estimated resident population - Males - at 30 June,Males - 55-59 years (no.),,,233212,237715,241155,243370,244035,241548,
ERP_M_14,Estimated resident population - Males - at 30 June,Males - 60-64 years (no.),,,205857,209854,213036,217147,222745,226881,
ERP_M_15,Estimated resident population - Males - at 30 June,Males - 65-69 years (no.),,,191040,189155,189398,191107,194859,196601,
ERP_M_16,Estimated resident population - Males - at 30 June,Males - 70-74 years (no.),,,143975,153897,162369,167356,173592,177394,
ERP_M_17,Estimated resident population - Males - at 30 June,Males - 75-79 years (no.),,,102355,105794,109069,114268,119959,125805,
ERP_M_18,Estimated resident population - Males - at 30 June,Males - 80-84 years (no.),,,68536,70516,72751,75441,79031,82007,
ERP_M_19,Estimated resident population - Males - at 30 June,Males - 85 and over (no.),,,61332,63011,64269,65661,67404,70185,
ERP_M_21,Estimated resident population - Males - at 30 June,Males - 0-4 years (%),,,6.7,6.6,6.4,6.3,6.2,6.1,
ERP_M_22,Estimated resident population - Males - at 30 June,Males - 5-9 years (%),,,6.7,6.6,6.6,6.6,6.5,6.5,
ERP_M_23,Estimated resident population - Males - at 30 June,Males - 10-14 years (%),,,6.1,6.2,6.2,6.3,6.4,6.5,
ERP_M_24,Estimated resident population - Males - at 30 June,Males - 15-19 years (%),,,6.2,6.2,6.1,6.1,6,5.9,
ERP_M_25,Estimated resident population - Males - at 30 June,Males - 20-24 years (%),,,7.1,7,7.1,7.1,6.8,6.5,
ERP_M_26,Estimated resident population - Males - at 30 June,Males - 25-29 years (%),,,7.5,7.6,7.6,7.6,7.4,7.1,
ERP_M_27,Estimated resident population - Males - at 30 June,Males - 30-34 years (%),,,7.4,7.4,7.4,7.4,7.4,7.3,
ERP_M_28,Estimated resident population - Males - at 30 June,Males - 35-39 years (%),,,6.7,6.8,7,7.1,7.2,7.3,
ERP_M_29,Estimated resident population - Males - at 30 June,Males - 40-44 years (%),,,6.7,6.5,6.4,6.3,6.3,6.4,
ERP_M_30,Estimated resident population - Males - at 30 June,Males - 45-49 years (%),,,6.4,6.5,6.5,6.5,6.5,6.4,
ERP_M_31,Estimated resident population - Males - at 30 June,Males - 50-54 years (%),,,6.3,6.1,6,5.9,5.9,6.1,
ERP_M_32,Estimated resident population - Males - at 30 June,Males - 55-59 years (%),,,6.1,6.1,6.1,6.1,6.1,6,
ERP_M_33,Estimated resident population - Males - at 30 June,Males - 60-64 years (%),,,5.4,5.4,5.4,5.4,5.5,5.6,
ERP_M_34,Estimated resident population - Males - at 30 June,Males - 65-69 years (%),,,5,4.9,4.8,4.8,4.8,4.9,
ERP_M_35,Estimated resident population - Males - at 30 June,Males - 70-74 years (%),,,3.8,4,4.1,4.2,4.3,4.4,
ERP_M_36,Estimated resident population - Males - at 30 June,Males - 75-79 years (%),,,2.7,2.7,2.8,2.9,3,3.1,
ERP_M_37,Estimated resident population - Males - at 30 June,Males - 80-84 years (%),,,1.8,1.8,1.8,1.9,2,2,
ERP_M_38,Estimated resident population - Males - at 30 June,Males - 85 and over (%),,,1.6,1.6,1.6,1.6,1.7,1.7,
ERP_F_2,Estimated resident population - Females - at 30 June,Females - 0-4 years (no.),,,243585,243351,240905,238661,235630,232167,
ERP_F_3,Estimated resident population - Females - at 30 June,Females - 5-9 years (no.),,,242693,245457,246595,247464,246435,245408,
ERP_F_4,Estimated resident population - Females - at 30 June,Females - 10-14 years (no.),,,220152,225745,231397,237587,243377,246716,
ERP_F_5,Estimated resident population - Females - at 30 June,Females - 15-19 years (no.),,,226433,226846,227171,226434,223373,222559,
ERP_F_6,Estimated resident population - Females - at 30 June,Females - 20-24 years (no.),,,259408,262694,265528,265548,257550,243677,
ERP_F_7,Estimated resident population - Females - at 30 June,Females - 25-29 years (no.),,,287607,294038,296483,297750,293256,281335,
ERP_F_8,Estimated resident population - Females - at 30 June,Females - 30-34 years (no.),,,286915,293200,295932,299262,301119,300453,
ERP_F_9,Estimated resident population - Females - at 30 June,Females - 35-39 years (no.),,,258020,266626,275576,283453,289865,292859,
ERP_F_10,Estimated resident population - Females - at 30 June,Females - 40-44 years (no.),,,260535,256282,253836,254241,257334,263051,
ERP_F_11,Estimated resident population - Females - at 30 June,Females - 45-49 years (no.),,,256022,262949,266324,266805,266159,260676,
ERP_F_12,Estimated resident population - Females - at 30 June,Females - 50-54 years (no.),,,249991,246676,243663,243241,245875,252163,
ERP_F_13,Estimated resident population - Females - at 30 June,Females - 55-59 years (no.),,,242832,247168,249824,251989,252850,247848,
ERP_F_14,Estimated resident population - Females - at 30 June,Females - 60-64 years (no.),,,215756,220698,225241,230012,236913,240201,
ERP_F_15,Estimated resident population - Females - at 30 June,Females - 65-69 years (no.),,,194872,195508,198340,202335,208165,210993,
ERP_F_16,Estimated resident population - Females - at 30 June,Females - 70-74 years (no.),,,149432,159544,168251,174466,181980,187775,
ERP_F_17,Estimated resident population - Females - at 30 June,Females - 75-79 years (no.),,,114600,117374,119822,124324,130080,135703,
ERP_F_18,Estimated resident population - Females - at 30 June,Females - 80-84 years (no.),,,85533,87284,89415,92076,94838,97160,
ERP_F_19,Estimated resident population - Females - at 30 June,Females - 85 and over (no.),,,104665,105338,105693,106334,107701,109793,
ERP_F_21,Estimated resident population - Females - at 30 June,Females - 0-4 years (%),,,6.2,6.2,6,5.9,5.8,5.7,
ERP_F_22,Estimated resident population - Females - at 30 June,Females - 5-9 years (%),,,6.2,6.2,6.2,6.1,6.1,6,
ERP_F_23,Estimated resident population - Females - at 30 June,Females - 10-14 years (%),,,5.6,5.7,5.8,5.9,6,6.1,
ERP_F_24,Estimated resident population - Females - at 30 June,Females - 15-19 years (%),,,5.8,5.7,5.7,5.6,5.5,5.5,
ERP_F_25,Estimated resident population - Females - at 30 June,Females - 20-24 years (%),,,6.7,6.6,6.6,6.6,6.3,6,
ERP_F_26,Estimated resident population - Females - at 30 June,Females - 25-29 years (%),,,7.4,7.4,7.4,7.4,7.2,6.9,
ERP_F_27,Estimated resident population - Females - at 30 June,Females - 30-34 years (%),,,7.4,7.4,7.4,7.4,7.4,7.4,
ERP_F_28,Estimated resident population - Females - at 30 June,Females - 35-39 years (%),,,6.6,6.7,6.9,7,7.1,7.2,
ERP_F_29,Estimated resident population - Females - at 30 June,Females - 40-44 years (%),,,6.7,6.5,6.3,6.3,6.3,6.5,
ERP_F_30,Estimated resident population - Females - at 30 June,Females - 45-49 years (%),,,6.6,6.6,6.7,6.6,6.5,6.4,
ERP_F_31,Estimated resident population - Females - at 30 June,Females - 50-54 years (%),,,6.4,6.2,6.1,6,6,6.2,
ERP_F_32,Estimated resident population - Females - at 30 June,Females - 55-59 years (%),,,6.2,6.2,6.2,6.2,6.2,6.1,
ERP_F_33,Estimated resident population - Females - at 30 June,Females - 60-64 years (%),,,5.5,5.6,5.6,5.7,5.8,5.9,
ERP_F_34,Estimated resident population - Females - at 30 June,Females - 65-69 years (%),,,5,4.9,5,5,5.1,5.2,
ERP_F_35,Estimated resident population - Females - at 30 June,Females - 70-74 years (%),,,3.8,4,4.2,4.3,4.5,4.6,
ERP_F_36,Estimated resident population - Females - at 30 June,Females - 75-79 years (%),,,2.9,3,3,3.1,3.2,3.3,
ERP_F_37,Estimated resident population - Females - at 30 June,Females - 80-84 years (%),,,2.2,2.2,2.2,2.3,2.3,2.4,
ERP_F_38,Estimated resident population - Females - at 30 June,Females - 85 and over (%),,,2.7,2.7,2.6,2.6,2.6,2.7,
ERP_P_2,Estimated resident population - Persons - at 30 June,Persons - 0-4 years (no.),,,501131,500362,495273,491959,485694,478496,
ERP_P_3,Estimated resident population - Persons - at 30 June,Persons - 5-9 years (no.),,,498455,504374,507569,509351,508027,506482,
ERP_P_4,Estimated resident population - Persons - at 30 June,Persons - 10-14 years (no.),,,453745,466004,477649,489642,501137,508261,
ERP_P_5,Estimated resident population - Persons - at 30 June,Persons - 15-19 years (no.),,,465492,466946,469224,469577,464101,461208,
ERP_P_6,Estimated resident population - Persons - at 30 June,Persons - 20-24 years (no.),,,530047,537111,544168,547512,532916,506481,
ERP_P_7,Estimated resident population - Persons - at 30 June,Persons - 25-29 years (no.),,,574728,588522,595967,600019,590989,567886,
ERP_P_8,Estimated resident population - Persons - at 30 June,Persons - 30-34 years (no.),,,570126,582052,588212,594715,598563,596075,
ERP_P_9,Estimated resident population - Persons - at 30 June,Persons - 35-39 years (no.),,,515059,532128,549881,565535,578175,584800,
ERP_P_10,Estimated resident population - Persons - at 30 June,Persons - 40-44 years (no.),,,517238,509789,505415,504918,510164,520695,
ERP_P_11,Estimated resident population - Persons - at 30 June,Persons - 45-49 years (no.),,,499653,514598,523698,526740,526798,517206,
ERP_P_12,Estimated resident population - Persons - at 30 June,Persons - 50-54 years (no.),,,493187,486129,479891,478451,483601,496331,
ERP_P_13,Estimated resident population - Persons - at 30 June,Persons - 55-59 years (no.),,,476044,484883,490979,495359,496885,489396,
ERP_P_14,Estimated resident population - Persons - at 30 June,Persons - 60-64 years (no.),,,421613,430552,438277,447159,459658,467082,
ERP_P_15,Estimated resident population - Persons - at 30 June,Persons - 65-69 years (no.),,,385912,384663,387738,393442,403024,407594,
ERP_P_16,Estimated resident population - Persons - at 30 June,Persons - 70-74 years (no.),,,293407,313441,330620,341822,355572,365169,
ERP_P_17,Estimated resident population - Persons - at 30 June,Persons - 75-79 years (no.),,,216955,223168,228891,238592,250039,261508,
ERP_P_18,Estimated resident population - Persons - at 30 June,Persons - 80-84 years (no.),,,154069,157800,162166,167517,173869,179167,
ERP_P_19,Estimated resident population - Persons - at 30 June,Persons - 85 and over (no.),,,165997,168349,169962,171995,175105,179978,
ERP_P_21,Estimated resident population - Persons - at 30 June,Persons - 0-4 years (%),,,6.5,6.4,6.2,6.1,6,5.9,
ERP_P_22,Estimated resident population - Persons - at 30 June,Persons - 5-9 years (%),,,6.4,6.4,6.4,6.3,6.3,6.3,
ERP_P_23,Estimated resident population - Persons - at 30 June,Persons - 10-14 years (%),,,5.9,5.9,6,6.1,6.2,6.3,
ERP_P_24,Estimated resident population - Persons - at 30 June,Persons - 15-19 years (%),,,6,5.9,5.9,5.8,5.7,5.7,
ERP_P_25,Estimated resident population - Persons - at 30 June,Persons - 20-24 years (%),,,6.9,6.8,6.8,6.8,6.6,6.3,
ERP_P_26,Estimated resident population - Persons - at 30 June,Persons - 25-29 years (%),,,7.4,7.5,7.5,7.5,7.3,7,
ERP_P_27,Estimated resident population - Persons - at 30 June,Persons - 30-34 years (%),,,7.4,7.4,7.4,7.4,7.4,7.4,
ERP_P_28,Estimated resident population - Persons - at 30 June,Persons - 35-39 years (%),,,6.7,6.8,6.9,7,7.1,7.2,
ERP_P_29,Estimated resident population - Persons - at 30 June,Persons - 40-44 years (%),,,6.7,6.5,6.4,6.3,6.3,6.4,
ERP_P_30,Estimated resident population - Persons - at 30 June,Persons - 45-49 years (%),,,6.5,6.6,6.6,6.6,6.5,6.4,
ERP_P_31,Estimated resident population - Persons - at 30 June,Persons - 50-54 years (%),,,6.4,6.2,6,6,6,6.1,
ERP_P_32,Estimated resident population - Persons - at 30 June,Persons - 55-59 years (%),,,6.2,6.2,6.2,6.2,6.1,6,
ERP_P_33,Estimated resident population - Persons - at 30 June,Persons - 60-64 years (%),,,5.5,5.5,5.5,5.6,5.7,5.8,
ERP_P_34,Estimated resident population - Persons - at 30 June,Persons - 65-69 years (%),,,5,4.9,4.9,4.9,5,5,
ERP_P_35,Estimated resident population - Persons - at 30 June,Persons - 70-74 years (%),,,3.8,4,4.2,4.3,4.4,4.5,
ERP_P_36,Estimated resident population - Persons - at 30 June,Persons - 75-79 years (%),,,2.8,2.8,2.9,3,3.1,3.2,
ERP_P_37,Estimated resident population - Persons - at 30 June,Persons - 80-84 years (%),,,2,2,2,2.1,2.1,2.2,
ERP_P_38,Estimated resident population - Persons - at 30 June,Persons - 85 and over (%),,,2.1,2.1,2.1,2.1,2.2,2.2,
BD_2,Births and deaths - year ended 31 December,Births (no.),,,96083,96591,107343,98906,95459,,
BD_3,Births and deaths - year ended 31 December,Total fertility rate (per female) (rate),,,1.78,1.77,1.78,1.76,1.73,,
BD_4,Births and deaths - year ended 31 December,Deaths (no.),,,53694,52778,53633,56058,52485,,
BD_5,Births and deaths - year ended 31 December,Standardised death rate (per 1000 population) (rate),,,5.6,5.4,5.3,5.3,5.1,,
MIGRATION_2,Internal and overseas migration - at 30 June,Internal arrivals (no.),,,,94468,96034,97727,89873,,
MIGRATION_3,Internal and overseas migration - at 30 June,Internal departures (no.),,,,109629,117706,119790,110760,,
MIGRATION_4,Internal and overseas migration - at 30 June,Net internal migration (no.),,,,-15161,-21672,-22063,-20887,,
MIGRATION_5,Internal and overseas migration - at 30 June,Overseas arrivals (no.),,,,198296,191451,194266,172953,,
MIGRATION_6,Internal and overseas migration - at 30 June,Overseas departures (no.),,,,92794,100801,109723,114626,,
MIGRATION_7,Internal and overseas migration - at 30 June,Net overseas migration (no.),,,,105502,90650,84543,58327,,
CENSUS_34,Aboriginal and Torres Strait Islander Peoples - Census,Aboriginal and Torres Strait Islander Peoples (no.),172620,,216171,,,,,278043,
CENSUS_2,Aboriginal and Torres Strait Islander Peoples - Census,Aboriginal and Torres Strait Islander Peoples (%),2.5,,2.9,,,,,3.4,
