Statistical Area Level 2 (SA2),Code,Suburb,Latitude,Longitude,,
Baulkham Hills - East,115011290,Baulkham Hills East,,,,
Baulkham Hills (West) - Bella Vista,115011291,Bella Vista,,,,
Glenhaven,115011294,Glenhaven,,,,
West Pennant Hills,115011296,West Pennant Hills,,,,
Castle Hill - Central,115011553,Castle Hill,,,,
Castle Hill - East,115011554,Castle Hill East,,,,
Castle Hill - North,115011555,Castle Hill North,,,,
Castle Hill - South,115011556,Castle Hill South,,,,
Castle Hill - West,115011557,Castle Hill West,,,,
Cherrybrook,115011558,Cherrybrook,,,,
Kellyville - East,115011621,Kellyville East,,,,
Kellyville - West,115011622,Kellyville East,,,,
Dural - Kenthurst - Wisemans Ferry,115021297,Dural,,,,
Galston - Laughtondale,115021298,Galston,,,,
Bilpin - Colo - St Albans,115031299,Bilpin,,,,
Kurrajong Heights - Ebenezer,115031300,Kurrajong Heights,,,,
Pitt Town - McGraths Hill,115041301,Pitt Town,,,,
Box Hill - Nelson,115041623,Box Hill,,,,
North Kellyville,115041624,North Kellyville,,,,
Rouse Hill - Beaumont Hills,115041625,Rouse Hill ,,,,
