Statistical Area Level 4 (SA4),Region code,Median monthly household mortgage payment ($)(2021),Annualize mortgage payment,Median total income (excl. Government pensions and allowances) ($)(2019),Mortgage stress (%),Latitude,Longitude,Estimated resident population (no.),Working age population (aged 15-64 years) (%)
Capital Region,101,1733,20796,49747,41.80352584075422,-35.282001,149.128998,238522,60.7
Central Coast,102,2000,24000,48968,49.01159941186081,-33.347222,151.496111,348379,60.0
Central West,103,1517,18204,47972,37.947135829233716,-33.283577,149.101273,213471,59.8
Coffs Harbour - Grafton,104,1595,19140,41749,45.84540947088553,-30.29626,153.11351,146115,58.2
Far West and Orana,105,1300,15600,47659,32.73253740112046,-31.9652,141.4512,117178,60.5
Hunter Valley exc Newcastle,106,1733,20796,50364,41.29139861806052,-32.733,151.5574,292906,61.4
Illawarra,107,2167,26004,52025,49.983661701105234,-34.425072,150.893143,313990,63.1
Mid North Coast,108,1521,18252,39907,45.73633698348661,-31.43084,152.90894,228870,54.7
Murray,109,1300,15600,46500,33.5483870967742,-36.07494,146.92394,123332,58.8
New England and North West,110,1361,16332,44722,36.51893922454273,-30.50828,151.67123,186942,59.8
Newcastle and Lake Macquarie,111,1950,23400,52758,44.35346298191744,-32.92715,151.77647,391095,63.0
Richmond - Tweed,112,1733,20796,41610,49.97837058399423,-28.81354,153.2773,256677,59.2
Riverina,113,1387,16644,49685,33.49904397705545,-35.12577,147.35375,164231,61.5
Southern Highlands and Shoalhaven,114,1820,21840,43731,49.94168896206352,-34.4775,150.4204,160722,56.1
Sydney - Baulkham Hills and Hawkesbury,115,2905,34860,57614,60.506126983024956,-33.75881,150.99292,265266,63.7
Blacktown,116,2383,28596,54424,52.54299573717478,-33.76667,150.91667,403958,66.4
Sydney - City and Inner South,117,2700,32400,57935,55.92474324674204,-33.86785,151.20732,335429,79.8
Sydney - Eastern Suburbs,118,3298,39576,66719,59.317435812886885,-33.89103,151.27157,263656,69.0
Sydney - Inner South West,119,2300,27600,46695,59.10697076774816,-33.91667,151.03333,607186,66.4
Sydney - Inner West,120,2780,33360,57060,58.46477392218718,-33.89835,151.17754,306292,70.0
North Sydney and Hornsby,121,3000,36000,66306,54.29372907429192,-33.8,151.18333,426070,64.9
Northern Beaches,122,3124,37488,59568,62.93311845286059,-33.67596,151.30653,264481,63.5
Sydney - Outer South West,123,2167,26004,54752,47.494155464640556,-34.06667,150.81667,298999,64.4
Sydney - Outer West and Blue Mountains,124,2167,26004,55246,47.0694710929298,-33.75,150.7,334001,64.5
Sydney - Parramatta,125,2200,26400,47089,56.06404892862452,-33.81667,151.0,496672,68.6
Sydney - Ryde,126,2670,32040,55579,57.64767268212814,-33.79677,151.12436,202922,67.2
Sydney - South West,127,2200,26400,49834,52.975879921338844,-33.9,150.93333,476152,66.0
Sydney - Sutherland,128,2618,31416,60055,52.31204728998418,-34.0333,151.05,230301,62.9
